Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,ACS19_5yr_B02018001,ACS19_5yr_B02018002,ACS19_5yr_B02018003,ACS19_5yr_B02018004,ACS19_5yr_B02018005,ACS19_5yr_B02018006,ACS19_5yr_B02018007,ACS19_5yr_B02018008,ACS19_5yr_B02018009,ACS19_5yr_B02018010,ACS19_5yr_B02018011,ACS19_5yr_B02018012,ACS19_5yr_B02018013,ACS19_5yr_B02018014,ACS19_5yr_B02018015,ACS19_5yr_B02018016,ACS19_5yr_B02018017,ACS19_5yr_B02018018,ACS19_5yr_B02018019,ACS19_5yr_B02018020,ACS19_5yr_B02018021,ACS19_5yr_B02018022,ACS19_5yr_B02018023,ACS19_5yr_B02018024,ACS19_5yr_B02018001s,ACS19_5yr_B02018002s,ACS19_5yr_B02018003s,ACS19_5yr_B02018004s,ACS19_5yr_B02018005s,ACS19_5yr_B02018006s,ACS19_5yr_B02018007s,ACS19_5yr_B02018008s,ACS19_5yr_B02018009s,ACS19_5yr_B02018010s,ACS19_5yr_B02018011s,ACS19_5yr_B02018012s,ACS19_5yr_B02018013s,ACS19_5yr_B02018014s,ACS19_5yr_B02018015s,ACS19_5yr_B02018016s,ACS19_5yr_B02018017s,ACS19_5yr_B02018018s,ACS19_5yr_B02018019s,ACS19_5yr_B02018020s,ACS19_5yr_B02018021s,ACS19_5yr_B02018022s,ACS19_5yr_B02018023s,ACS19_5yr_B02018024s
"011070000988","32100US011070000988","Albertville city; Albertville","Albertville city; Albertville, AL Micro Area; Alabama","al","321","00","ACSSF","0007833",,,,,"01",,,"00988",,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,21541,192,98,0,0,0,0,38,26,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,86.66666,76.36364,13.33333,13.33333,13.33333,13.33333,35.75758,19.39394,13.33333,13.33333,13.33333,23.63636,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,1.818182
"011076001132","32100US011076001132","Alexander City city; Alexander City","Alexander City city; Alexander City, AL Micro Area; Alabama","al","321","00","ACSSF","0007834",,,,,"01",,,"01132",,,,,,,,,,,"10760",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,14508,153,0,0,0,0,0,129,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,49.69697,11.51515,11.51515,11.51515,11.51515,11.51515,52.72727,11.51515,11.51515,11.51515,10.30303,13.93939,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515
"011150001852","32100US011150001852","Anniston city; Anniston-Oxford","Anniston city; Anniston-Oxford, AL Metro Area; Alabama","al","321","00","ACSSF","0007835",,,,,"01",,,"01852",,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,21688,387,145,0,0,0,0,138,13,0,0,22,31,0,0,0,0,0,0,0,0,19,13,0,6,138.7879,109.697,13.33333,13.33333,13.33333,13.33333,88.48485,13.93939,13.33333,13.33333,22.42424,26.06061,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,16.36364,11.51515,13.33333,6.060606
"011150057576","32100US011150057576","Oxford city (part); Anniston-Oxford","Oxford city (part); Anniston-Oxford, AL Metro Area; Alabama","al","321","00","ACSSF","0007836",,,,,"01",,,"57576",,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,17124,149,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,87.27273,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,14.54545,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,91.51515,11.51515,11.51515
"011212003004","32100US011212003004","Atmore city; Atmore","Atmore city; Atmore, AL Micro Area; Alabama","al","321","00","ACSSF","0007837",,,,,"01",,,"03004",,,,,,,,,,,"12120",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,9495,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9.090909,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,10.30303,9.090909
"011222003076","32100US011222003076","Auburn city; Auburn-Opelika","Auburn city; Auburn-Opelika, AL Metro Area; Alabama","al","321","00","ACSSF","0007838",,,,,"01",,,"03076",,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,64054,6020,624,183,0,0,0,1509,138,0,0,260,2567,0,0,0,13,0,169,0,25,4,399,0,129,292.7273,162.4242,90.30303,16.9697,16.9697,16.9697,227.2727,83.63636,16.9697,16.9697,103.0303,310.303,16.9697,16.9697,16.9697,14.54545,16.9697,162.4242,16.9697,23.63636,4.848485,149.697,16.9697,74.54546
"011222057048","32100US011222057048","Opelika city; Auburn-Opelika","Opelika city; Auburn-Opelika, AL Metro Area; Alabama","al","321","00","ACSSF","0007839",,,,,"01",,,"57048",,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,30232,1017,384,0,0,0,0,53,0,0,0,16,333,147,12,0,0,0,0,0,31,0,41,0,0,255.7576,187.8788,15.15152,15.15152,15.15152,15.15152,37.57576,15.15152,15.15152,15.15152,11.51515,107.8788,83.63636,15.75758,15.15152,15.15152,15.15152,15.15152,15.15152,38.78788,15.15152,41.81818,15.15152,15.15152
"011382007000","32100US011382007000","Birmingham city; Birmingham-Hoover","Birmingham city; Birmingham-Hoover, AL Metro Area; Alabama","al","321","00","ACSSF","0007840",,,,,"01",,,"07000",,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,212297,3016,682,57,0,0,0,847,113,9,0,212,368,0,9,0,12,0,55,0,31,133,111,0,377,260,133.3333,47.87879,16.9697,16.9697,16.9697,151.5152,41.81818,8.484848,16.9697,63.63636,85.45454,16.9697,7.878788,16.9697,11.51515,16.9697,36.9697,16.9697,20.60606,43.63636,49.09091,16.9697,153.3333
"011382035896","32100US011382035896","Hoover city; Birmingham-Hoover","Hoover city; Birmingham-Hoover, AL Metro Area; Alabama","al","321","00","ACSSF","0007841",,,,,"01",,,"35896",,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,85175,5208,2097,60,0,0,0,718,109,0,0,248,445,0,0,0,191,0,336,0,0,197,540,0,267,371.5151,321.2121,41.81818,16.9697,16.9697,16.9697,186.0606,54.54546,16.9697,16.9697,153.3333,147.2727,16.9697,16.9697,16.9697,106.6667,16.9697,143.6364,16.9697,16.9697,119.3939,210.9091,16.9697,105.4545
"011898018976","32100US011898018976","Cullman city; Cullman","Cullman city; Cullman, AL Micro Area; Alabama","al","321","00","ACSSF","0007842",,,,,"01",,,"18976",,,,,,,,,,,"18980",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,15729,339,0,0,0,55,0,0,237,0,0,17,2,0,0,0,0,0,0,0,28,0,0,0,0,110.9091,11.51515,11.51515,11.51515,47.87879,11.51515,11.51515,135.1515,11.51515,11.51515,17.57576,3.030303,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,33.93939,11.51515,11.51515,11.51515,11.51515
"011930019648","32100US011930019648","Daphne city; Daphne-Fairhope-Foley","Daphne city; Daphne-Fairhope-Foley, AL Metro Area; Alabama","al","321","00","ACSSF","0007843",,,,,"01",,,"19648",,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,25901,618,0,0,0,0,0,287,27,0,0,147,89,0,0,0,0,0,0,0,0,68,0,0,0,184.2424,13.33333,13.33333,13.33333,13.33333,13.33333,136.3636,20.60606,13.33333,13.33333,89.09091,84.24242,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,63.0303,13.33333,13.33333,13.33333
"011930025240","32100US011930025240","Fairhope city; Daphne-Fairhope-Foley","Fairhope city; Daphne-Fairhope-Foley, AL Metro Area; Alabama","al","321","00","ACSSF","0007844",,,,,"01",,,"25240",,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,21083,709,396,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.2424,252.7273,13.33333,13.33333,13.33333,13.33333,168.4848,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333,13.33333
"011930026992","32100US011930026992","Foley city; Daphne-Fairhope-Foley","Foley city; Daphne-Fairhope-Foley, AL Metro Area; Alabama","al","321","00","ACSSF","0007845",,,,,"01",,,"26992",,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,18533,250,45,0,0,0,0,0,38,0,0,34,0,0,0,0,0,0,95,0,0,38,0,0,0,116.3636,44.24242,11.51515,11.51515,11.51515,11.51515,11.51515,29.09091,11.51515,11.51515,21.21212,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,89.09091,11.51515,11.51515,38.78788,11.51515,11.51515,11.51515
"011930032272","32100US011930032272","Gulf Shores city; Daphne-Fairhope-Foley","Gulf Shores city; Daphne-Fairhope-Foley, AL Metro Area; Alabama","al","321","00","ACSSF","0007846",,,,,"01",,,"32272",,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,12267,108,0,0,0,0,0,88,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,61.21212,11.51515,11.51515,11.51515,11.51515,11.51515,62.42424,11.51515,11.51515,11.51515,11.51515,7.272727,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,12.72727,11.51515,11.51515,11.51515,11.51515
"011946020104","32100US011946020104","Decatur city (part); Decatur","Decatur city (part); Decatur, AL Metro Area; Alabama","al","321","00","ACSSF","0007847",,,,,"01",,,"20104",,,,,,,,,,,"19460",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,54478,300,167,0,0,0,0,15,27,0,0,8,47,0,0,0,0,0,0,0,0,23,13,0,0,104.2424,86.66666,16.9697,16.9697,16.9697,16.9697,15.75758,27.27273,16.9697,16.9697,8.484848,43.63636,16.9697,16.9697,16.9697,16.9697,16.9697,16.9697,16.9697,16.9697,16.9697,13.93939,16.9697,16.9697
"012002021184","32100US012002021184","Dothan city (part); Dothan","Dothan city (part); Dothan, AL Metro Area; Alabama","al","321","00","ACSSF","0007848",,,,,"01",,,"21184",,,,,,,,,,,"20020",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,67192,1267,212,3,0,0,0,234,107,0,8,94,188,0,0,0,0,2,25,0,0,36,222,0,136,52.12121,40.60606,2.424242,16.9697,16.9697,16.9697,37.57576,23.63636,16.9697,4.848485,19.39394,29.69697,16.9697,16.9697,16.9697,16.9697,1.818182,12.12121,16.9697,16.9697,13.33333,35.75758,16.9697,36.36364
